entry_time,exit_time,direction,entry_px,exit_px,pnl_pts,exit_reason
2022-03-28 09:30:00,2022-03-28 09:40:00,long,1485.5,1487.3,0.36,target
2022-03-28 10:10:00,2022-03-28 10:20:00,long,1484.5,1483.4582884629563,-2.4817,stop
2022-03-28 10:40:00,2022-03-28 11:05:00,long,1483.2,1482.3216953414633,-2.3183,stop
2022-03-28 11:25:00,2022-03-28 11:30:00,long,1482.3,1481.59111607498,-2.1489,stop
2022-03-28 13:40:00,2022-03-28 13:45:00,long,1476.2,1477.8,0.16,target
2022-03-28 13:50:00,2022-03-28 13:50:00,short,1479.4,1480.6352087849496,-2.6752,stop
2022-03-28 14:15:00,2022-03-28 14:25:00,short,1481.4,1478.8,1.16,target
2022-03-29 09:30:00,2022-03-29 09:40:00,short,1487.0,1487.9658000546442,-2.4058,stop
2022-03-29 10:00:00,2022-03-29 10:00:00,short,1488.3,1489.0248006772886,-2.1648,stop
2022-03-29 10:20:00,2022-03-29 10:20:00,short,1489.5,1490.232261537487,-2.1723,stop
2022-03-29 10:50:00,2022-03-29 10:55:00,short,1489.5,1490.1661918874659,-2.1062,stop
2022-03-29 11:20:00,2022-03-29 11:20:00,short,1491.2,1490.3507563499988,-0.5908,stop
2022-03-29 13:30:00,2022-03-29 13:30:00,long,1491.0,1490.916498956979,-1.5235,stop
2022-03-30 09:30:00,2022-03-30 09:30:00,short,1491.5,1492.5419373847412,-2.4819,stop
2022-03-30 09:50:00,2022-03-30 09:50:00,short,1494.4,1495.098160662078,-2.1382,stop
2022-03-30 10:10:00,2022-03-30 10:10:00,short,1501.3,1501.162968976802,-1.303,stop
2022-03-30 10:30:00,2022-03-30 11:25:00,short,1501.5,1496.0,4.06,target
2022-03-30 14:15:00,2022-03-30 14:25:00,long,1487.1,1491.4,2.86,target
2022-03-31 09:30:00,2022-03-31 09:40:00,short,1494.0,1495.414209304975,-2.8542,stop
2022-03-31 10:00:00,2022-03-31 10:10:00,short,1497.2,1497.6509267240278,-1.8909,stop
2022-03-31 10:30:00,2022-03-31 10:30:00,short,1497.7,1497.7780938268108,-1.5181,stop
2022-03-31 10:50:00,2022-03-31 11:10:00,short,1496.6,1495.1,0.06,target
